"Taxon","Photo_path"
"Berberis aquifolium","C3"
"Berberis aquifolium","C3"
"Maianthemum bifolium","C3"
"Maianthemum bifolium","C3"
"Maianthemum bifolium","C3"
"Maianthemum canadense","C3"
"Maianthemum canadense","C3"
"Maillardia pendula","C3"
"Maireana aphylla","C3"
"Maireana georgei","C3"
"Maireana microphylla","C3"
"Maireana pentatropis","C3"
"Maireana pyramidata","C3"
"Eriochiton sclerolaenoides","C3"
"Maireana sedifolia","C3"
"Maireana","C3"
"Maireana tomentosa","C3"
"Malacocera tricornis","C3"
"Malesherbia multiflora","C3"
"Malesherbia multiflora","C3"
"Malleastrum leroyi","C3"
"Mallotus apelta","C3"
"Mallotus apelta","C3"
"Mallotus barbatus","C3"
"Mallotus barbatus","C3"
"Mallotus mollissimus","C3"
"Mallotus nesophilus","C3"
"Mallotus nesophilus","C3"
"Mallotus nesophilus","C3"
"Mallotus paniculatus","C3"
"Mallotus paniculatus","C3"
"Mallotus philippensis","C3"
"Mallotus philippinensis","C3"
"Mallotus philippensis","C3"
"Malouetia tamaquarina","C3"
"Malus baccata","C3"
"Malus coronaria","C3"
"Malus domestica","C3"
"Malus domestica","C3"
"Malus domestica","C3"
"Malus domestica","C3"
"Malus fusca","C3"
"Malus halliana","C3"
"Malus hupehensis","C3"
"Malus kansuensis","C3"
"Malus mandshurica","C3"
"Malus pumila","C3"
"Malus sieboldii","C3"
"Malus sieboldii var. zumi","C3"
"Malus sikkimensis","C3"
"Malus","C3"
"Malus","C3"
"Malus","C3"
"Malus sylvestris","C3"
"Malus sylvestris","C3"
"Malus sylvestris","C3"
"Malus sylvestris","C3"
"Malus toringoides","C3"
"Malus yunnanensis","C3"
"Malva moschata","C3"
"Malva moschata","C3"
"Malva moschata","C3"
"Malva neglecta","C3"
"Malva neglecta","C3"
"Malva neglecta","C3"
"Malva parviflora","C3"
"Malva parviflora","C3"
"Malva sylvestris","C3"
"Malva sylvestris","C3"
"Malva sylvestris","C3"
"Malva verticillata","C3"
"Acaulimalva purdiaei","C3"
"Mammilaria","CAM"
"Mammilaria","CAM"
"Mammillaria dioica","CAM"
"Mammillaria hutchisoniana subsp. louisae","CAM"
"Mancoa hispida","C3"
"Mangifera foetida","C3"
"Mangifera foetida","C3"
"Mangifera indica","C3"
"Magnolia conifera var. chingii","C3"
"Manihot caerulescens","C3"
"Manihot esculenta","C3"
"Manihot esculenta","C3"
"Manilkara bidentata","C3"
"Manilkara bidentata","C3"
"Manilkara cavalcantei","C3"
"Manilkara huberi","C3"
"Manilkara huberi","C3"
"Manilkara inundata","C3"
"Manilkara","C3"
"Manilkara","C3"
"Manilkara subsericea","C3"
"Manilkara zapota","C3"
"Hemarthria altissima","C4"
"Pachyptera kerere","C3"
"Mansoa verrucifera","C3"
"Mansoa verrucifera","C3"
"Mapania macrocephala","C3"
"Maquira calophylla","C3"
"Maquira guianensis","C3"
"Maquira sclerophylla","C3"
"Marcgravia rectiflora","C3"
"Margaritaria anomala","C3"
"Marila laxiflora","C3"
"Marila laxiflora","C3"
"Marila tomentosa","C3"
"Cyperus compactus","C4"
"Cyperus cyperinus","C4"
"Cyperus javanicus","C4"
"Remirea maritima","C4"
"Cyperus cyperoides","C4"
"Marmaroxylon racemosum","C3"
"Marram","C3"
"Marrubium vulgare","C3"
"Marrubium vulgare","C3"
"Marrubium vulgare","C3"
"Martiodendron","C3"
"Matelea cordifolia","C3"
"Matelea cordifolia","C3"
"Matricaria discoidea","C3"
"Matricaria discoidea","C3"
"Matricaria","C3"
"chamomilla chamomilla","C3"
"chamomilla chamomilla","C3"
"Matricaria","C3"
"Matteuccia struthiopteris","C3"
"Matteuccia struthiopteris","C3"
"Matteuccia struthiopteris","C3"
"Matthiola incana","C3"
"Matthiola incana","C3"
"Matthiola incana","C3"
"Matthiola longipetala subsp. livida","C3"
"Matthiola sinuata","C3"
"Matthiola sinuata","C3"
"Matthiola sinuata","C3"
"Maytenus acuminata","C3"
"Maytenus acuminata","C3"
"Maytenus canariensis","C3"
"Maytenus cunninghamii","C3"
"Maytenus ferdinandi","C3"
"Maytenus macrocarpa","C3"
"Maytenus magellanica","C3"
"Maytenus oleoides","C3"
"Maytenus oleoides","C3"
"Maytenus oleoides","C3"
"Maytenus robusta","C3"
"Maytenus schippii","C3"
"Gymnosporia senegalensis","C3"
"Maytenus silvestris","C3"
"Maytenus vitis","C3"
"Maytenus vitis-idaea","C3"
"Papaver cambricum","C3"
"Papaver cambricum","C3"
"Papaver cambricum","C3"
"Medicago arabica","C3"
"Medicago arabica","C3"
"Medicago arabica","C3"
"Medicago falcata","C3"
"Medicago falcata","C3"
"Medicago laciniata","C3"
"Medicago lupulina","C3"
"Medicago lupulina","C3"
"Medicago lupulina","C3"
"Medicago marina","C3"
"Medicago minima","C3"
"Medicago minima","C3"
"Medicago minima","C3"
"Medicago minima","C3"
"Medicago polymorpha","C3"
"Medicago polymorpha","C3"
"Medicago polymorpha","C3"
"Medicago ruthenica","C3"
"Medicago sativa","C3"
"Medicago sativa","C3"
"Medicago sativa","C3"
"Medicago sativa","C3"
"Medicago","C3"
"Megaloprotachne albescens","C4"
"Megaloprotachne albescens","C4"
"Calothamnus quadrifidus","C3"
"Calothamnus quadrifidus","C3"
"Calothamnus quadrifidus","C3"
"Melaleuca bracteosa","C3"
"Melaleuca leucadendra","C3"
"Melaleuca leucadendra","C3"
"Melaleuca linariifolia","C3"
"Melaleuca nervosa","C3"
"Melaleuca nodosa","C3"
"Melaleuca nodosa","C3"
"Melaleuca quinquenervia","C3"
"Melaleuca seriata","C3"
"Melaleuca sieberi","C3"
"Melaleuca","C3"
"Melaleuca uncinata","C3"
"Melaleuca uncinata","C3"
"Melaleuca uncinata","C3"
"Melaleuca uncinata","C3"
"Melaleuca uncinata","C3"
"Melaleuca viridiflora","C3"
"Melaleuca viridiflora","C3"
"Melaleuca viridiflora","C3"
"Melampyrum arvense","C3"
"Melampyrum arvense","C3"
"Melampyrum arvense","C3"
"Melampyrum cristatum","C3"
"Melampyrum cristatum","C3"
"Melampyrum cristatum","C3"
"Melampyrum nemorosum","C3"
"Melampyrum pratense","C3"
"Melampyrum pratense","C3"
"Melampyrum pratense","C3"
"Melampyrum roseum","C3"
"Melampyrum sylvaticum","C3"
"Melampyrum sylvaticum","C3"
"Melampyrum sylvaticum","C3"
"Melampyrum sylvaticum","C3"
"Melanocenchris jacquemontii","C4"
"Melanocenchris jacquemontii","C4"
"Melanocenchris jacquemontii","C4"
"Wollastonia biflora","C3"
"Melastoma malabathricum","C3"
"Melastoma malabathricum","C3"
"Melastoma dodecandrum","C3"
"Melastoma malabathricum","C3"
"Melastoma malabathricum","C3"
"Melastoma","C3"
"Melica altissima","C3"
"Melica bulbosa","C3"
"Danthonia decumbens","C3"
"Melica mutica","C3"
"Melica nutans","C3"
"Melica nutans","C3"
"Melica nutans","C3"
"Melica onoei","C3"
"Melica racemosa","C3"
"Melica radula","C3"
"Melica scabrosa","C3"
"Melica subulata","C3"
"Melica turczaninowiana","C3"
"Melica uniflora","C3"
"Melica uniflora","C3"
"Melica uniflora","C3"
"Melica virgata","C3"
"Melichrus urceolatus","C3"
"Melicope elleryana","C3"
"Melicope simplex","C3"
"Melicope","C3"
"Melicytus ramiflorus","C3"
"Melicytus ramiflorus","C3"
"Medicago ruthenica","C3"
"Medicago ruthenica","C3"
"Melilotus officinalis subsp. alba","C3"
"Melilotus albus","C3"
"Melilotus albus","C3"
"Melilotus albus","C3"
"Melilotus altissimus","C3"
"Melilotus altissimus","C3"
"Melilotus altissimus","C3"
"Melilotus dentatus","C3"
"Melilotus officinalis","C3"
"Melilotus officinalis","C3"
"Melilotus officinalis","C3"
"Melilotus suaveolens","C3"
"Melinis kallimorpha","C4"
"Melinis longiseta","C4"
"Melinis minutiflora","C4"
"Melinis nerviglumis","C4"
"Melinis repens","C4"
"Melinis subglabra","C4"
"Melissitus ruthenicus","C3"
"Melittis melissophyllum","C3"
"Melittis melissophyllum","C3"
"Melittis melissophyllum","C3"
"Melochia umbellata","C3"
"Memecylon ligustrifolium","C3"
"Memecylon ligustrifolium","C3"
"Adenocalymma neoflavidum","C3"
"Memora","C3"
"Memora","C3"
"Memora","C3"
"Adenocalymma tanaeciicarpum","C3"
"Adenocalymma tanaeciicarpum","C3"
"Menispermum dauricum","C4"
"Mentha aquatica","C3"
"Mentha aquatica","C3"
"Mentha aquatica","C3"
"Mentha arvensis","C3"
"Mentha arvensis","C3"
"Mentha arvensis","C3"
"Mentha canadensis","C3"
"Mentha pulegium","C3"
"Mentha pulegium","C3"
"Mentha pulegium","C3"
"Mentha spicata","C3"
"Mentha spicata","C3"
"Mentha spicata","C3"
"Mentha suaveolens","C3"
"Mentha suaveolens","C3"
"Mentha suaveolens","C3"
"Mentha x verticillata","C3"
"Mentha x verticillata","C3"
"Mentha x verticillata","C3"
"Mentha x villosa","C3"
"Mentha x villosa","C3"
"Mentha x villosa","C3"
"Mentzelia scabra","C3"
"Mentzelia scabra","C3"
"Menyanthes trifoliata","C3"
"Menyanthes trifoliata","C3"
"Menyanthes trifoliata","C3"
"Mercurialis annua","C3"
"Mercurialis annua","C3"
"Mercurialis annua","C3"
"Mercurialis perennis","C3"
"Mercurialis perennis","C3"
"Mercurialis perennis","C3"
"Merremia guerichii","C3"
"Merremia palmeri","C3"
"Merremia palmeri","C3"
"Mertensia davurica","C3"
"Mertensia maritima","C3"
"Mertensia maritima","C3"
"Mertensia maritima","C3"
"Tenaxia disticha","C3"
"Ellisochloa rangei","C3"
"Tenaxia stricta","C3"
"Mesembryanthemum crystallinum","C3"
"Mesembryanthemum crystallinum","CAM"
"Mesembryanthemum hypertrophicum","CAM"
"Mesembryanthemum hypertrophicum","CAM"
"Mesembryanthemum nodiflorum","CAM"
"Mesembryanthemum","CAM"
"Mesembryanthemum","CAM"
"Mesomelaena stygia","C3"
"Mesomelaena tetragona","C3"
"Mespilus germanica","C3"
"Mespilus germanica","C3"
"Mespilus germanica","C3"
"Tournefortia sibirica","C3"
"Tournefortia sibirica","C4"
"Tournefortia sibirica","C4"
"Metaplexis japonica","C3"
"Metaplexis japonica","C3"
"Metrosideros polymorpha","C3"
"Metrosideros polymorpha","C3"
"Metrodorea flavida","C3"
"Metrosideros excelsa","C3"
"Metrosideros polymorpha","C3"
"Metrosideros polymorpha","C3"
"Metrosideros polymorpha","C3"
"Metrosideros polymorpha","C3"
"Metrosideros umbellata","C3"
"Metrosideros umbellata","C3"
"Meum athamanticum","C3"
"Meum athamanticum","C3"
"Meum athamanticum","C3"
"Mezilaurus itauba","C3"
"Mibora minima","C3"
"Mibora minima","C3"
"Mibora minima","C3"
"Magnolia balansae","C4"
"Miconia acinodendron","C3"
"Miconia acinodendron","C3"
"Miconia affinis","C3"
"Miconia affinis","C3"
"Miconia albicans","C3"
"Miconia albicans","C3"
"Miconia albicans","C3"
"Miconia ampla","C3"
"Miconia appendiculata","C3"
"Miconia argentea","C3"
"Miconia argentea","C3"
"Miconia argyrophylla","C3"
"Miconia aulocalyx","C3"
"Miconia aurea","C3"
"Miconia minutiflora","C3"
"Miconia minutiflora","C3"
"Miconia bubalina","C3"
"Miconia cabucu","C3"
"Miconia calvescens","C3"
"Miconia calvescens","C3"
"Miconia cazaletii","C3"
"Miconia crassinervia","C3"
"Miconia cubatanensis","C3"
"Miconia cuspidata","C3"
"Miconia decurrens","C3"
"Miconia dispar","C3"
"Miconia dispar","C3"
"Miconia elata","C3"
"Miconia fallax","C3"
"Miconia fallax","C3"
"Miconia fallax","C3"
"Miconia foveolata","C3"
"Miconia ferruginata","C3"
"Miconia ferruginata","C3"
"Miconia glaberrima","C3"
"Miconia gracilis","C3"
"Miconia grandifolia","C3"
"Miconia hondurensis","C3"
"Miconia hymenonervia","C3"
"Miconia impetiolaris","C3"
"Miconia ligustroides","C3"
"Miconia ligustroides","C3"
"Miconia matthaei","C3"
"Miconia minutiflora","C3"
"Miconia multispicata","C3"
"Miconia napoana","C3"
"Miconia nervosa","C3"
"Miconia pachyphylla","C3"
"Miconia dolichorrhyncha","C3"
"Acinodendron pohlianum","C3"
"Miconia prasina","C3"
"Miconia punctata","C3"
"Miconia ruficalyx","C3"
"Miconia schnellii","C3"
"Miconia sellowiana","C3"
"Miconia smaragdina","C3"
"Miconia","C3"
"Miconia splendens","C3"
"Miconia stevensiana","C3"
"Miconia subspicata","C3"
"Miconia ternatifolia","C3"
"Miconia tonduzii","C3"
"Miconia trinervia","C3"
"Miconia triplinervis","C3"
"Micraira","C3"
"Micraira subulifolia","C3"
"Micrandra siphonioides","C3"
"Micrandra spruceana","C3"
"Micrandra sprucei","C3"
"Micrandra sprucei","C3"
"Micrandra sprucei","C3"
"Micrandropsis scleroxylon","C3"
"Microchloa caffra","C4"
"Microchloa indica","C4"
"Microchloa kunthii","C4"
"Microcnemum coralloides","C3"
"Microcnemum coralloides","C3"
"Grewia nervosa","C3"
"Grewia nervosa","C4"
"Microgramma lycopodioides","C3"
"Microgramma reptans","C3"
"Microgynoecium tibeticum","C3"
"Ehrharta diplax","C3"
"Ehrharta stipoides","C3"
"Micromonolepis pusilla","C3"
"Micromyrtus sessilis","C3"
"Micromyrtus sessilis","C3"
"Micromyrtus sessilis","C3"
"Micromyrtus sessilis","C4"
"Micromyrtus sessilis","C4"
"Micromyrtus sessilis","C4"
"Halogeton arachnoideus","C4"
"Micropholis acutangula","C3"
"Micropholis guyanensis","C3"
"Micropholis egensis","C3"
"Micropholis garciniifolia","C3"
"Micropholis gianensisb","C3"
"Micropholis guyanensis","C3"
"Micropholis guyanensis","C3"
"Micropholis guyanensis","C3"
"Micropholis maguirei","C3"
"Micropholis maguirei","C3"
"Micropholis melinoniana","C3"
"Micropholis obscura","C3"
"Micropholis","C3"
"Micropholis","C3"
"Micropholis","C3"
"Micropholis tuianensis","C3"
"Micropholis venulosa","C3"
"Micropholis venulosa","C3"
"Micropholis venulosa","C3"
"Micropholis williamii","C3"
"Micropholis williamii","C3"
"Microseris nutans","C3"
"Microstegium ciliatum","C4"
"Microstegium vimineum","C4"
"Mikania fragilis","C3"
"Mikania ligustrifolia","C3"
"Milium effusum","C3"
"Milium effusum","C3"
"Milium effusum","C3"
"Mimetes fibrifolium","C3"
"Mimosa bahamensis","C3"
"Mimosa bahamensis","C3"
"Mimosa claussenii","C3"
"Mimosa lanuginosa","C3"
"Mimulus aurantiacus","C3"
"Mimulus aurantiacus","C3"
"Mimulus aurantiacus","C3"
"Mimulus eastwoodiae","C3"
"Mimulus guttatus","C3"
"Mimulus guttatus","C3"
"Mimulus guttatus","C3"
"Mimulus luteus","C3"
"Mimulus luteus","C3"
"Mimulus luteus","C3"
"Mimulus moschatus","C3"
"Mimulus moschatus","C3"
"Mimulus moschatus","C3"
"Mimusops elengi","C3"
"Mimusops coriacea","C3"
"Mimusops obovata","C3"
"Mimusops obovata","C3"
"Minquartia guianensis","C3"
"Minuartia hybrida","C3"
"Minuartia hybrida","C3"
"Minuartia hybrida","C3"
"Minuartia recurva","C3"
"Minuartia recurva","C3"
"Minuartia recurva","C3"
"Minuartia rubella","C3"
"Minuartia rubella","C3"
"Minuartia rubella","C3"
"Minuartia sedoides","C3"
"Minuartia sedoides","C3"
"Minuartia sedoides","C3"
"Minuartia stricta","C3"
"Minuartia stricta","C3"
"Minuartia stricta","C3"
"Minuartia verna","C3"
"Minuartia verna","C3"
"Minuartia verna","C3"
"Mirbelia reticulata","C3"
"Miscanthus sinensis","C4"
"Miscanthus floridulus","C4"
"Miscanthus floridulus","C4"
"Miscanthus junceus","C4"
"Miscanthus sacchariflorus","C4"
"Miscanthus sacchariflorus","C4"
"Miscanthus sacchariflorus","C4"
"Miscanthus sinensis","C3"
"Miscanthus sinensis","C4"
"Misopates orontium","C3"
"Misopates orontium","C3"
"Misopates orontium","C3"
"Mitrophyllum","CAM"
"Mitrophyllum","CAM"
"Moehringia lateriflora","C3"
"Moehringia trinervia","C3"
"Moehringia trinervia","C3"
"Moehringia trinervia","C3"
"Moenchia erecta","C3"
"Moenchia erecta","C3"
"Moenchia erecta","C3"
"Physostegia parviflora","C3"
"Molinia caerulea","C3"
"Molinia caerulea","C3"
"Molinia caerulea","C3"
"Mollugo cerviana","C4"
"Mollugo cerviana","C4"
"Mollugo nudicaulis","C4"
"Glinus oppositifolius","C3"
"Mollugo pentaphylla","C3"
"Mollugo pentaphylla","C3"
"Mollugo verticillata","C3"
"Mollugo verticillata","C4"
"Mollugo verticillata","C3"
"Monanthochloe littoralis","C4"
"Monanthotaxis caffra","C3"
"Monanthotaxis caffra","C3"
"Monarda fistulosa","C3"
"Monarda fistulosa var. menthifolia","C3"
"Monarda punctata","C3"
"Monechma cleomoides","C3"
"Monechma genistifolium","C3"
"Monechma mollissimum","C3"
"Monechma debile","C3"
"Monelytrum luederitzianum","C4"
"Monelytrum luederitzianum","C4"
"Moneses uniflora","C3"
"Moneses uniflora","C3"
"Moneses uniflora","C3"
"Cyathocalyx maingayi","C3"
"Cyathocalyx maingayi","C3"
"Monocymbium ceresiiforme","C4"
"Monolepis nuttalliana","C3"
"Micromonolepis pusilla","C3"
"Montia fontana","C3"
"Montia fontana","C3"
"Montia fontana","C3"
"Moricandia foleyi","C3"
"Moricandia moricandioides","C3"
"Moricandia nitens","C3"
"Morinda jasminoides","C3"
"Moringa oleifera","C3"
"Morisonia americana","C3"
"Morisonia americana","C3"
"Moronobea coccinea","C3"
"Morus mongolica","C3"
"Mouriri brachyanthera","C3"
"Mouriri brachyanthera","C3"
"Mouriri crassifolia","C3"
"Mouriri dimorphandra","C3"
"Mouriri nigra","C3"
"Mouriri","C3"
"Muehlenbeckia adpressa","C3"
"Muehlenbeckia complexa","C3"
"Muehlenbeckia complexa","C3"
"Muehlenbeckia complexa","C3"
"Loranthus eucalyptoides","C3"
"Muhlenbergia huegelii","C4"
"Muhlenbergia cuspidata","C4"
"Muhlenbergia emersleyi","C4"
"Muhlenbergia huegelii","C4"
"Muhlenbergia huegelii","C4"
"Muhlenbergia japonica","C4"
"Muhlenbergia lindheimeri","C4"
"Muhlenbergia montana","C4"
"Muhlenbergia racemosa","C4"
"Muhlenbergia richardsonis","C4"
"Muhlenbergia schreberi","C4"
"Muhlenbergia","C4"
"Munroa mendocina","C4"
"Munroa squarrosa","C4"
"Musa paradisiaca","C3"
"Muscari neglectum","C3"
"Muscari neglectum","C3"
"Muscari neglectum","C3"
"Musineon divaricatum","C3"
"Lactuca muralis","C3"
"Lactuca muralis","C3"
"Lactuca muralis","C3"
"Myoporum tenuifolium","C3"
"Eremophila deserti","C3"
"Myoporum laetum","C3"
"Myoporum montanum","C3"
"Myoporum platycarpum","C3"
"Myoporum sandwicense","C3"
"Myoporum sandwicense","C3"
"Myosotis alpestris","C3"
"Myosotis alpestris","C3"
"Myosotis alpestris","C3"
"Myosotis arvensis","C3"
"Myosotis arvensis","C3"
"Myosotis arvensis","C3"
"Myosotis discolor","C3"
"Myosotis discolor","C3"
"Myosotis discolor","C3"
"Myosotis laxa","C3"
"Myosotis laxa","C3"
"Myosotis laxa","C3"
"Myosotis ramosissima","C3"
"Myosotis ramosissima","C3"
"Myosotis ramosissima","C3"
"Myosotis scorpioides","C3"
"Myosotis scorpioides","C3"
"Myosotis scorpioides","C3"
"Myosotis secunda","C3"
"Myosotis secunda","C3"
"Myosotis secunda","C3"
"Myosotis stolonifera","C3"
"Myosotis stolonifera","C3"
"Myosotis stolonifera","C3"
"Myosotis sylvatica","C3"
"Myosotis sylvatica","C3"
"Myosotis sylvatica","C3"
"Stellaria aquatica","C3"
"Stellaria aquatica","C3"
"Myosoton","C3"
"Myosurus minimus","C3"
"Myosurus minimus","C3"
"Myosurus minimus","C3"
"Myrceugenia campestris","C3"
"Myrceugenia planipes","C3"
"Myrceugenia planipes","C3"
"Myrceugenia reitzii","C3"
"Myrcia splendens","C3"
"Myrcia multiflora","C3"
"Myrcia sylvatica","C3"
"Plinia cauliflora","C3"
"Plinia cauliflora","C3"
"Myrica esculenta","C3"
"Myrica faya","C3"
"Myrica gale","C3"
"Myrica gale","C3"
"Myrica gale","C3"
"Myrica gale","C3"
"Myricaria germanica","C3"
"Myriophyllum alterniflorum","C3"
"Myriophyllum alterniflorum","C3"
"Myriophyllum alterniflorum","C3"
"Myriophyllum sibiricum","C3"
"Myriophyllum spicatum","C3"
"Myriophyllum spicatum","C3"
"Myriophyllum spicatum","C3"
"Myriophyllum verticillatum","C3"
"Myriophyllum verticillatum","C3"
"Myriophyllum verticillatum","C3"
"Myristica insipida","C3"
"Myrmecophila galeottiana","CAM"
"Myrmecophila galeottiana","CAM"
"Myrrhis odorata","C3"
"Myrrhis odorata","C3"
"Myrrhis odorata","C3"
"Rapanea australis","C3"
"Myrsine benthamiana","C3"
"Myrsine coriacea","C3"
"Rapanea divaricata","C3"
"Myrsine gardneriana","C3"
"Myrsine juergensenii","C3"
"Myrsine lessertiana","C3"
"Myrsine lessertiana","C3"
"Myrsine lessertiana","C3"
"Rapanea melanophloeos","C3"
"Rapanea nummularia","C3"
"Myrsine parvifolia","C3"
"Rapanea salicina","C3"
"Myrsine sandwicensis","C3"
"Myrsine sandwicensis","C3"
"Myrsine seguinii","C3"
"Myrsine","C3"
"Myrtillocactus cochal","CAM"
"Myrtus communis","C3"
"Myrtus communis","C3"
"Myrtus communis","C3"
"Myrtus communis","C3"
"Cassine aethiopica","C3"
"Najas flexilis","C3"
"Najas flexilis","C3"
"Najas flexilis","C3"
"Najas marina","C3"
"Najas marina","C3"
"Najas marina","C3"
"Nanophyton erinaceum","C4"
"Nanophyton grubovii","C4"
"Nanophyton mongolicum","C4"
"Narcissus pseudonarcissus","C3"
"Narcissus pseudonarcissus","C3"
"Narcissus pseudonarcissus","C3"
"Nardus stricta","C3"
"Nardus stricta","C3"
"Nardus stricta","C3"
"Nardus stricta","C3"
"Nardus stricta","C3"
"Narthecium ossifragum","C3"
"Narthecium ossifragum","C3"
"Narthecium ossifragum","C3"
"Nassella trichotoma","C3"
"Naucleopsis glabra","C3"
"Naucleopsis imitans","C3"
"Naucleopsis","C3"
"Naucleopsis trenstroemiifolia","C3"
"Rhodostemonodaphne grandis","C3"
"Nectandra purpurascens","C3"
"Nectandra purpurascens","C3"
"Neea altissima","C3"
"Neea amplifolia","C3"
"Neea delicatula","C3"
"Neea amplifolia","C3"
"Neea floribunda","C3"
"Neea hermaphrodita","C3"
"Neea macrophylla","C3"
"Neea obovata","C3"
"Neea obovata","C3"
"Neea oppositifolia","C3"
"Neea ovalifolia","C3"
"Neea parviflora","C3"
"Neea psychotrioides","C3"
"Neea","C3"
"Eragrostis reptans","C4"
"Nemesia","C3"
"Nemopanthes mucronata","C3"
"Nemopanthes mucronata","C3"
"Nemopanthus mucronatus","C3"
"Neobassia proceriflora","C3"
"Neolitsea aciculata","C3"
"Neolitsea aciculata","C3"
"Neolitsea australiensis","C3"
"Neolitsea dealbata","C3"
"Neolitsea sericea","C3"
"Neolitsea sericea","C3"
"Neolitsea sericea","C3"
"Neomillspaughia emarginata","C3"
"Neomillspaughia emarginata","C3"
"Neopallasia pectinata","C3"
"Neoregelia cruenta","CAM"
"Neostapfia colusana","C4"
"Neotinea maculata","C3"
"Neotinea maculata","C3"
"Neotinea maculata","C3"
"Nepeta cataria","C3"
"Nepeta cataria","C3"
"Nepeta cataria","C3"
"Nephrolepis rivularis","C3"
"Nephrolepis","C3"
"Nephrolepis","C3"
"Nephrolepis","C3"
"Nerium oleander","C3"
"Nerium oleander","C3"
"Nerium oleander","C3"
"Nesogenes prostrata","C3"
"Neurachne alopecuroidea","C3"
"Neurachne lanigera","C3"
"Neurachne minor","C3"
"Neurachne munroi","C4"
"Neurachne queenslandica","C3"
"Neurachne tenuifolia","C3"
"Newtonia hildebrandtii","C3"
"Newtonia hildebrandtii","C3"
"Nicotiana glauca","C3"
"Nicotiana solanifolia","C3"
"Nicotiana solanifolia","C3"
"Nicotiana tabacum","C3"
"Nidularium itatiaiae","CAM"
"Niphogeton dissecta","C3"
"Nissolia schottii","C3"
"Nissolia schottii","C3"
"Nitraria retusa","C3"
"Nitraria schoberi","C3"
"Nitraria sibirica","C3"
"Nitraria sphaerocarpa","C3"
"Nitraria tangutorum","C3"
"Nitraria tangutorum","C4"
"Nitrophila australis","C3"
"Nitrophila mohavensis","C3"
"Nitrophila occidentalis","C3"
"Noaea hermonis","C4"
"Noaea kurdica","C4"
"Noaea major","C4"
"Noaea minuta","C4"
"Noaea mucronata","C4"
"Noaea mucronata","CAM"
"Noaea tournefortii","C4"
"Nolana aplocaryoides","C3"
"Nolana aplocaryoides","C3"
"Nolana crassulifolia","C3"
"Nolana crassulifolia","C3"
"Nolana divaricata","C3"
"Nolana divaricata","C3"
"Nolana elegans","C3"
"Nolana elegans","C3"
"Nolana leptophylla","C3"
"Nolana leptophylla","C3"
"Nolana mollis","C3"
"Nolana mollis","C3"
"Nolana paradoxa","C3"
"Nolana paradoxa","C3"
"Nolana sedifolia","C3"
"Nolana sedifolia","C3"
"Nolana","CAM"
"Nolana","C3"
"Opuntia karwinskiana","CAM"
"Opuntia karwinskiana","CAM"
"Nothofagus alpina","C3"
"Nothofagus antarctica","C3"
"Nothofagus betuloides","C3"
"Nothofagus betuloides","C3"
"Nothofagus cunninghamii","C3"
"Nothofagus cunninghamii","C3"
"Nothofagus dombeyi","C3"
"Nothofagus dombeyi","C3"
"Nothofagus dombeyi","C3"
"Nothofagus fusca","C3"
"Nothofagus gunnii","C3"
"Nothofagus menziesii","C3"
"Nothofagus menziesii","C3"
"Nothofagus menziesii","C3"
"Nothofagus nitida","C3"
"Nothofagus nitida","C3"
"Nothofagus pseudoresinosa","C3"
"Nothofagus pullei","C3"
"Nothofagus pumilio","C3"
"Nothofagus solandri","C3"
"Nothofagus solandri","C3"
"Parodia mammulosa","CAM"
"Rytidosperma gracile","C3"
"Nototriche caesia","C3"
"Nototriche phyllanthos","C3"
"Nuphar lutea","C3"
"Nuphar lutea","C3"
"Nuphar lutea","C3"
"Nuphar pumila","C3"
"Nuphar pumila","C3"
"Nuphar pumila","C3"
"Nuytsia floribunda","C3"
"Nuytsia floribunda","C3"
"Nymphaea alba","C3"
"Nymphaea alba","C3"
"Nymphaea alba","C3"
"Nymphoides peltata","C3"
"Nymphoides peltata","C3"
"Nymphoides peltata","C3"
"Nyssa aquatica","C3"
"Nyssa sylvatica","C3"
"Nyssa sylvatica","C3"
"Nyssa sylvatica","C3"
"Obetia ficifolia","C3"
"Ochna ciliata","C3"
"Ochna natalitia","C3"
"Ochna natalitia","C3"
"Ochna serrulata","C3"
"Ochradenus baccatus","C3"
"Ocotea aciphylla","C3"
"Ocotea amazonica","C3"
"Ocotea argyrophylla","C3"
"Ocotea bijuga","C3"
"Ocotea bofo","C3"
"Ocotea bullata","C3"
"Ocotea bullata","C3"
"Ocotea canaliculata","C3"
"Ocotea cernua","C3"
"Ocotea cernua","C3"
"Ocotea cinerea","C3"
"Ocotea aciphylla","C3"
"Ocotea aciphylla","C3"
"Ocotea cujumary","C3"
"Ocotea cuneifolia","C3"
"Ocotea dendrodaphne","C3"
"Ocotea dispersa","C3"
"Ocotea effusa","C3"
"Ocotea indecora","C3"
"Ocotea esmeraldana","C3"
"Ocotea foetens","C3"
"Ocotea glaziovii","C3"
"Ocotea glomerata","C3"
"Ocotea guianensis","C3"
"Ocotea hartshorniana","C3"
"Ocotea helicterifolia","C3"
"Ocotea insularis","C3"
"Ocotea insularis","C3"
"Ocotea javitensis","C3"
"Ocotea leucoxylon","C3"
"Ocotea leucoxylon","C3"
"Ocotea longifolia","C3"
"Ocotea meziana","C3"
"Ocotea oblonga","C3"
"Ocotea odorifera","C3"
"Ocotea olivacea","C3"
"Ocotea percurrens","C3"
