"Taxon","Photo_path"
"Chrysopogon benthamianus","C4"
"Themeda triandra","C4"
"Alloteropsis semialata","C4"
"Dactyloctenium australe","C4"
"Sorghum intrans","C4"
"Chrysopogon benthamianus","C4"
"Alloteropsis semialata","C4"
"Brachiaria mutica","C4"
"Sorghum plumosum","C4"
"Heteropogon triticeus","C4"
"Heteropogon triticeus","C4"
"Hyparrhenia filipendula","C4"
"Themeda triandra","C4"
"Chrysopogon benthamianus","C4"
"Sehima nervosum","C4"
"Coelorachis rottboellioides","C4"
"Sorghum intrans","C4"
"Setaria nigrirostris","C4"
"Cymbopogon","C4"
"Elionurus muticus","C4"
"Alloteropsis semialata","C4"
"Alloteropsis semialata","C4"
"Sehima nervosum","C4"
"Alloteropsis semialata","C4"
"Tristachya leucothrix","C4"
"Heteropogon triticeus","C4"
"Bothriochloa insculpta","C4"
"Whiteochloa multiciliata","C4"
"Loudetia simplex","C4"
"Hyparrhenia","C4"
"Cymbopogon obtectus","C4"
"Eriachne ciliata","C4"
"Sorghum plumosum","C4"
"Cymbopogon","C4"
"Coelorachis rottboellioides","C4"
"Tristachya leucothrix","C4"
"Sehima nervosum","C4"
"Heteropogon triticeus","C4"
"Digitaria areantha","C4"
"Urochloa mosambicensis","C4"
"Bothriochloa insculpta","C4"
"Chrysopogon latifolius","C4"
"Eulalia aurea","C4"
"Heteropogon triticeus","C4"
"Chrysopogon benthamianus","C4"
"Sorghum plumosum","C4"
"Leptochloa fusca","C4"
"Themeda triandra","C4"
"Enneapogon polyphyllus","C4"
"Urochloa mosambicensis","C4"
"Sehima nervosum","C4"
"Bothriochloa insculpta","C4"
"Bothriochloa insculpta","C4"
"Sehima nervosum","C4"
"Cymbopogon","C4"
"Sorghum plumosum","C4"
"Sorghum plumosum","C4"
"Alloteropsis semialata","C4"
"Heteropogon triticeus","C4"
"Themeda triandra","C4"
"Hyperthelia dissoluta","C4"
"Panicum maximum","C4"
"Eriachne obtusa","C4"
"Heteropogon triticeus","C4"
"Urochloa mosambicensis","C4"
"Heteropogon contortus","C4"
"Hyparrhenia hirta","C4"
"Heteropogon triticeus","C4"
"Pennisetum polystachion","C4"
"Digitaria longiflora","C4"
"Andropogon gayanus","C4"
"Eragrostis superba","C4"
"Coelorachis rottboellioides","C4"
"Pennisetum polystachion","C4"
"Bothriochloa insculpta","C4"
"Acer campestre","c3"
"Acer pseudoplatanus","c3"
"Agrostis canina","c3"
"Agrostis capillaris","c3"
"Agrostis stolonifera","c3"
"Allium vineale","c3"
"Alnus glutinosa","c3"
"Anemone nemorosa","c3"
"Bromus sterilis","c3"
"Anthoxanthum odoratum","c3"
"Anthriscus sylvestris","c3"
"Aphanes arvensis","c3"
"Apium nodiflorum","c3"
"Arenaria serpyllifolia","c3"
"Arrhenatherum elatius","c3"
"Artemisia vulgaris","c3"
"Atriplex littoralis","c3"
"Atriplex patula","c3"
"Atriplex prostrata","c4"
"Betula pendula","c3"
"Brachypodium pinnatum","c3"
"Brachypodium sylvaticum","c3"
"Bromus hordeaceus","c3"
"Buddleja davidii","c3"
"Callitriche stagnalis","c3"
"Calluna vulgaris","c3"
"Campanula rotundifolia","c3"
"CAPSELLA BURSA-PASTORIS","c3"
"Cardamine pratensis","c3"
"Centaurea nigra","c3"
"Cerastium fontanum","c3"
"Epilobium angustifolium","c3"
"Chenopodium album","c3"
"Cirsium arvense","c3"
"Cirsium vulgare","c3"
"Cochlearia danica","c3"
"Cornus sanguinea","c3"
"Corylus avellana","c3"
"Crataegus monogyna","c3"
"Crepis capillaris","c3"
"Dactylis glomerata","c3"
"Deschampsia cespitosa","c3"
"Deschampsia flexuosa","c3"
"Dryopteris dilatata","c3"
"Elodea canadensis","c3"
"Elymus repens","c3"
"Epilobium hirsutum","c3"
"Epilobium montanum","c3"
"Fagus sylvatica","c3"
"Fallopia convolvulus","c3"
"Festuca gigantea","c3"
"Festuca ovina","c3"
"Festuca rubra","c3"
"Fraxinus excelsior","c3"
"Galium aparine","c3"
"Galium palustre","c3"
"Galium saxatile","c3"
"Geranium robertianum","c3"
"Glyceria fluitans","c3"
"Hedera helix","c3"
"Heracleum sphondylium","c3"
"Holcus lanatus","c3"
"Holcus mollis","c3"
"HYACINTHOIDES NON-SCRIPTA","c3"
"Hypochaeris radicata","c3"
"Ilex aquifolium","c3"
"Juncus effusus","c3"
"Koeleria macrantha","c3"
"Lamium galeobdolon","c3"
"Larix decidua","c3"
"Lemna minor","c3"
"Leontodon hispidus","c3"
"Ligustrum vulgare","c3"
"Linum catharticum","c3"
"Lolium perenne","c3"
"Lonicera periclymenum","c3"
"Lotus corniculatus","c3"
"Luzula campestris","c3"
"Matricaria discoidea","c3"
"Mentha aquatica","c3"
"Mercurialis perennis","c3"
"Myosotis scorpioides","c3"
"Nardus stricta","c3"
"Oxalis acetosella","c3"
"Persicaria maculosa","c3"
"Picea sitchensis","c3"
"Pilosella officinarum","c3"
"Pinus sylvestris","c3"
"Plantago lanceolata","c3"
"Plantago major","c3"
"Poa annua","c3"
"Poa pratensis","c3"
"Poa trivialis","c3"
"Polygonum aviculare","c3"
"Potamogeton natans","c3"
"Potentilla erecta","c3"
"Prunus spinosa","c3"
"Pteridium aquilinum","c3"
"Puccinellia distans","c3"
"Quercus petraea","c3"
"Ranunculus acris","c3"
"Ranunculus bulbosus","c3"
"Ficaria verna","c3"
"Ranunculus penicillatus","c3"
"Ranunculus repens","c3"
"Rhododendron ponticum","c3"
"Nasturtium microphyllum","c3"
"Rubus vestitus","c3"
"Rumex acetosa","c3"
"Rumex acetosella","c3"
"Rumex obtusifolius","c3"
"Salix caprea","c3"
"Sambucus nigra","c3"
"Sedum acre","CAM"
"Sedum telephium","CAM"
"Jacobaea vulgaris","c3"
"Senecio squalidus","c3"
"Senecio vulgaris","c3"
"Silene dioica","c3"
"Solanum dulcamara","c3"
"Sonchus oleraceus","c3"
"Sorbus aucuparia","c3"
"Sparganium erectum","c3"
"Spergula arvensis","c3"
"Spergularia marina","c3"
"Stellaria media","c3"
"Stellaria uliginosa","c3"
"Taraxacum campylodes","c3"
"Taxus baccata","c3"
"Teucrium scorodonia","c3"
"Trifolium repens","c3"
"Tripleurospermum inodorum","c3"
"Trisetum flavescens","c3"
"Tussilago farfara","c3"
"Ulex europaeus","c3"
"Ulmus glabra","c3"
"Umbilicus rupestris","CAM"
"Urtica dioica","c3"
"Vaccinium myrtillus","c3"
"Veronica chamaedrys","c3"
"Veronica persica","c3"
"Viburnum opulus","c3"
"Viola riviniana","c3"
"Acacia doratoxylon","C3"
"Acacia havilandiorum","C3"
"Allocasuarina","C3"
"Astrotricha floccosa","C3"
"Banksia marginata","C3"
"Bertya cunninghamii","C3"
"Beyeria opaca","C3"
"Achillea millefolium","C3"
"Alnus incana","C3"
"Andromeda polifolia","C3"
"Angelica sylvestris","C3"
"Anthriscus sylvestris","C3"
"Arctous alpina","C3"
"Astragalus alpinus","C3"
"Astragalus frigidus","C3"
"Bartsia alpina","C3"
"Betula nana","C3"
"Betula pubescens","C3"
"Calamagrostis lapponica","C3"
"Caltha palustris","C3"
"Carex capitata","C3"
"Carex rostrata","C3"
"Carex saxatilis","C3"
"Carex vaginata","C3"
"Cassiope tetragona","C3"
"Epilobium angustifolium","C3"
"Cornus suecica","C3"
"Deschampsia cespitosa","C3"
"Diphasiastrum complanatum","C3"
"Drosera rotundifolia","C3"
"Dryas octopetala","C3"
"Elymus repens","C3"
"Empetrum nigrum","C3"
"Equisetum sylvaticum","C3"
"Eriophorum angustifolium","C3"
"Euphrasia frigida","C3"
"Filipendula ulmaria","C3"
"Geranium sylvaticum","C3"
"Gymnocarpium dryopteris","C3"
"Juncus arcticus","C3"
"Juncus trifidus","C3"
"Juniperus communis","C3"
"Lathyrus pratensis","C3"
"Luzula multiflora","C3"
"Lycopodium annotinum","C3"
"Matteuccia struthiopteris","C3"
"Melampyrum sylvaticum","C3"
"Orthilia secunda","C3"
"Pedicularis hirsuta","C3"
"Pedicularis lapponica","C3"
"Pedicularis sceptrum-carolinum","C3"
"Phleum alpinum","C3"
"Picea abies","C3"
"Pinguicula vulgaris","C3"
"Pinus sylvestris","C3"
